omuddo	Cassava
enva endiirwa	Cassava flour
ebikoola	Cassava leaves
Tulima enva endiirwa mu lusuku lwaffe	We grow cassava in our garden
Enva endiirwa y'ekika ky'emmere ekikulu mu Bunyoro	Cassava is a staple food in Bunyoro
omuceere	Rice
Tufumba omuceere buli lunaku	We cook rice every day
Omuceere gukula mu bifo omuli ebirime	Rice grows in wetlands
Ebbeeyi y'omuceere yeeyongedde	The price of rice has increased
yam	Yam
Yams ekungulwa mu kiseera eky'ekyeya	Yams are harvested in the dry season
omuddo	Pumpkin
Ebikoola by'ebikoola birya	Pumpkin leaves are edible
Twasimba enkumbi okumpi n'omulyango	We planted pumpkins near the fence
Okukungula	Harvesting
Leero tukuŋŋaanya omuddo	We are harvesting maize today
amakungula gaali malungi omwaka guno	The harvest was good this year
Oluvannyuma lw'okukungula tusimba eŋŋaano	After harvesting we store the grain
Ekiseera eky'amakungula kiba kya ssanyu	Harvest time is a time of joy
okufukirira	Irrigation
Okufukirira kiyamba ebirime okukula mu kiseera eky'ekyeya	Irrigation helps crops grow in dry season
Abalimi bakozesa amazzi okufukirira ennimiro zaabwe	The farmers use irrigation to water their fields
okulima	Plowing
Tulima ennimiro nga tetunnasiga	We plow the field before planting
Tterekita ekozesebwa mu kulima	The tractor is used for plowing
Okusiga	Sowing
Tusiga ensigo ku ntandikwa y'ekiseera ky'enkuba	We sow seeds at the beginning of the rainy season
Okusiga kukolebwa oluvannyuma lw'okukungula	Sowing is done after plowing
Okukungula	Reaping
Abalimi bakungula omuddo	The farmers are reaping millet
Okukungula kubaawo ng'ebirime bikuze	Reaping is done when the crop is mature
okufumita	Threshing
Tusaanuula omuddo okusobola okwawulawo eŋŋaano	We thresh millet to separate the grain
Okukuba ebibala si mulimu mwangu	Threshing is hard work
okusala	Pruning
Tukomola emiti gy'emmwaanyi okusobola okwongera ku bibala byayo	We prune coffee trees to increase yield
Okutema kiyamba ekimera okukula obulungi	Pruning helps the plant grow better
okusaasaanya omuddo	Weeding
Tukungula omuddo mu nnimiro buli wiiki	We weed the garden every week
Okusaasaanya omuddo kuggyawo ebimera ebitali birungi	Weeding removes unwanted plants
enkoko	Chicken
Tulina enkoko awaka	We keep chickens at home
Enkoko eteeka amagi buli lunaku	The chicken lays eggs every day
Enkoko zirya ebirime n'ebiwuka	Chickens eat grain and insects
ensolo	Rabbit
Tukuza amasavu olw'ennyama	We raise rabbits for meat
Ennyama y'enkoko erimu eby'okulya	Rabbit meat is nutritious
okusaala	Milking
Buli ku makya tukama ente	We milk the cows every morning
Okukama kukolebwa emirundi ebiri buli lunaku	Milking is done twice a day
amata amayonjo malungi eri abaana	Fresh milk is good for children
omuddo	Compost
Omuddo guyamba ettaka okubala obulungi	Compost improves soil fertility
Tufuula omuddo okuva mu bisusunku by'ebimera	We make compost from plant waste
omuddo	Manure
Omuddo gw'ente guba gulyanyi mulungi	Cow manure is good fertilizer
Twasaasaanya envumbo ku nnimiro	We spread manure on the garden
Omuddo gwongera ku mutindo gw'ettaka	Manure improves soil quality
Enkuba	Rainfall
Enkuba ennyingi nkulu nnyo mu kulima	Good rainfall is important for farming
Enkuba ey'omwaka guno yali ntono	The rainfall this season was poor
Ensigo zeetaaga enkuba nnyingi okusobola okukula	Crops need enough rainfall to grow
ekisiikirize	Hoe
Envuumuulo kye kyuma ekikulu ekikozesebwa mu kulima	The hoe is the main farming tool
Tukozesa enkumbi okusima ennimiro	We use a hoe to dig the garden
Ekikondo ekiwanvu kifuula omulimu okuba omwangu	A sharp hoe makes work easier
ekikondo	Machete
Tukozesa envuumuulo okusaanyaawo ebirime	We use a machete to clear the bush
Ekikondo kikozesebwa okusala ebinywa	The machete is used to cut banana stems
ebisiikirize	Sickle
Tukozesa enkumbi okukungula omuddo	We use a sickle to harvest millet
akagaali	Wheelbarrow
Tukozesa eggaali okutwala ettaka	We use a wheelbarrow to carry soil
Emmotoka eyitibwa wheelbarrow etwala ebintu eby'amaanyi	The wheelbarrow carries heavy loads
Okufulumya	Export
Uganda etunda caayi mu mawanga mangi	Uganda exports coffee to many countries
Okufulumya kawuka kuleeta ssente mu balimi	Coffee export brings money to farmers
ebibiina by'obwegassi	Cooperative
Abalimi beegatta ku bikung'aanya okutunda awamu	Farmers join cooperatives to sell together
Ekitongole kigula omuddo okuva mu balimi	The cooperative buys maize from farmers
omuddo	Millet
Tukula ensigo mu nnimiro zaffe	We grow millet in our fields
Omubisi gw'enjuki gukozesebwa mu kufumba omwenge	Millet is used to make local beer
Enkuyege y'omuddo erimu eby'okulya eby'omugaso	Millet porridge is nutritious
omuddo	Sorghum
Sorghum egumira ekyeya	Sorghum is drought resistant
Kafeero	Coffee
Kofi y'ekimera ekikulu mu Uganda	Coffee is an important cash crop in Uganda
