Runyoro,English
obu nyina nyowe abaire asemezibwe eka yona eketeraniza omulingo oguntakaroraga,When my mother was diagnosed the whole family came together in a way l've never seen before.
nkasiga ekihemeheme kandi kandi nakisindika hamutimbagano ijo,I have left a note and posted it on social media yesterday.
Benedicto Kiwanuka nuwe yabandize okuba mukuru wa baminista.,Benedicto Kiwanuka became chief minister for the first time.
omusoro gwaberambanda guhambirize baingi omubusibi,The income tax has forced many into wage labor.
Kumara emyaka nemyaka ekka yaitu ebaire nehondere emigezo yakuswera erukusisana.,For years our family has followed the same marriage customs.
nyahwire risiti habwesonga z'omusoro,I have kept receipts for tax purposes.
enkora y'okusesira ebirimwa amaizi guyambaho abalimi omukasumi kekyanda,The new irrigation system helps farmers during the dry season.
Busaho kintu ekibi nk'okurubata omu maizi ojwaire sokisi...,There's nothing worse than stepping in a puddle with socks on.
"omulisa wange akaba n'eka yaitu okurabira omubuzale, kandi buli kintu hagati yaitu","My pastor has been with our family through births, deaths, and everything in between."
emitano yabajungu temanyirire ebika byabantu nobuhangwa,Colonial boundaries ignored ethnic and cultural divisions.
Abasigazi nibakora orugo rw'ente.,The women make the cattle hide.
tarukwija kufika omugabo gwa abakama babizinesi,It will reach the shareholders' equity.
naija okugira engeri akwija okundoramu endetere okuhura ninyowe nyeka omunsi,She will have a way of looking at me that makes me feel like the only person in the world.
"Abasungi abaingi , basemereriirwe abateezi bebidongo basaba babongereyo ekizina ekindi.",Many supporters have complained that sellers have added another label.
"mutabani wange akagwize,""ruhanga ali nkaha?"" nasonga hamutima gwange n'ogwe","My son has asked,""Where is God?"" pointing to my heart and his."
"omukazi akangambira,""omusana nigwija kujwa nyenkya,kandi naiwe oti.""","She told me,""The sun will rise again tomorrow, and so will you""."
akagalihya emihanda y'entahyaye,He has diversified his income streams.
abenkento bakarabyamu amaiso omukihandiko kyentekaniza yaitu,The shareholders have invested heavily in our strategic plan.
magarita niko akosolya akacyasingireyo okuraiha ha kasozi sitanule,Margarita Nicholson has performed stand-up comedy onstage.
"kakuba oburorwaho bwija okweyongera, musere obuyambi by'abafumu bwango","If the symptoms worsened, seek medical attention immediately."
omuzani akazana nkemanzi omumuzano,The actress plays the role of the heroine in the drama.
irwaro nirija kugira eryahuro ry'ebitabu byabarwaire ebirukukwataho obwomezi bwabo,The hospital will have a patient library with health information.
John Hanninng Speke akahika handugirro eya Nile 1862.,John Hanninng Speke reached the Nile Delta in 1862.
"omuro tigurukwija kugwa mpaka nyekya, ogaruke hairwaro","The fire will not go out until tomorrow, so get back to work."
obubarakora okuseruruza okubatetekanize,When they perform ritual rituals.
