Runyoro,English
obu nyina nyowe abaire asemezibwe eka yona eketeraniza omulingo oguntakaroraga,When my mother has been diagnosed the whole family came together in a way l've never seen before.
nkasiga ekihemeheme kandi kandi nakisindika hamutimbagano ijo,I draw a funny cartoon and posted it on social media yesterday.
Benedicto Kiwanuka nuwe yabandize okuba mukuru wa baminista.,Benedicto Kiwanuka became Uganda's first chief minister.
omusoro gwaberambanda guhambirize baingi omubusibi,Colonial taxation has forced many into wage labor.
Kumara emyaka nemyaka ekka yaitu ebaire nehondere emigezo yakuswera erukusisana.,Our family has followed the same marriage customs for generations.
nyahwire risiti habwesonga z'omusoro,I have kept receipts for tax purposes.
enkora y'okusesira ebirimwa amaizi guyambaho abalimi omukasumi kekyanda,The new irrigation system helps farmers during the dry season.
Busaho kintu ekibi nk'okurubata omu maizi ojwaire sokisi...,There's nothing worse than stepping in a puddle with socks on .
"omulisa wange akaba n'eka yaitu okurabira omubuzale, kandi buli kintu hagati yaitu","My pastor was with our family through births, deaths and everything in between."
emitano yabajungu temanyirire ebika byabantu nobuhangwa,Colonial boundaries have ignored ethnic and cultural divisions.
Abasigazi nibakora orugo rw'ente.,The young men are building the new kraal for the cattle.
tarukwija kufika omugabo gwa abakama babizinesi,He will never miss a dividend payment.
naija okugira engeri akwija okundoramu endetere okuhura ninyowe nyeka omunsi,She will have this way of looking at me that makes me feel like the only person in the world
"Abasungi abaingi , basemereriirwe abateezi bebidongo basaba babongereyo ekizina ekindi.",The crowd is cheering for the band to play one more song.
"mutabani wange akagwize,""ruhanga ali nkaha?"" nasonga hamutima gwange n'ogwe","My son asked me,""Where is God?""I pointed to my heart and his."
"omukazi akangambira,""omusana nigwija kujwa nyenkya,kandi naiwe oti.""","She told me,""The sun will rise again tomorrow, and so will you""."
akagalihya emihanda y'entahyaye,He diversified his income streams.
abenkento bakarabyamu amaiso omukihandiko kyentekaniza yaitu,The finance committee reviewed the proposal.
magarita niko akosolya akacyasingireyo okuraiha ha kasozi sitanule,Mount Stanley's highest peak was Margherita peak.
"kakuba oburorwaho bwija okweyongera, musere obuyambi by'abafumu bwango","If the symptoms will worsen, seek medical attention immediately."
omuzani akazana nkemanzi omumuzano,The actor played the role of the hero in the local drama.
irwaro nirija kugira eryahuro ry'ebitabu byabarwaire ebirukukwataho obwomezi bwabo,The hospital will have a patient library with health information.
John Hanninng Speke akahika handugirro eya Nile 1862.,John Hanninng Speke reached the source of Nile in 1862.
"omuro tigurukwija kugwa mpaka nyekya, ogaruke hairwaro","If the fever will not go down by tomorrow, come back to the clinic."
obubarakora okuseruruza okubatetekanize,When they make unexpected discoveries.
