Barakusemizeho?	Have you ever had surgery before?
the clouds have changed colour	eraagi
good bye	orame
Nubuhairajaki.	No matter what.
let,s go out	tubungemu
it is good to greet people	kisemire
it is impossible to travel with you	tikirukusoboka
imagine	teera ekisisani orole
when did it happen	kikabahodi
hello	oloho ota
Please, do not follow me.	Otampondera.
hug him/her	omujumbate
WHAT DID YOU GAIN (FROM IT )?	Ogoberemuki?
I don't know	Timanyire
he/ she is injured	ahutaire
Ruhindurana	Inspect in detail to determine their nature
Ninkusaba ekiganyiro	Apology
Insuwa	Cover for medical costs.
Shiya	The second largest branch of Islam
ebicu	visible mass of water vapor
Omwenagiro	A loose outer garment
omwaana	a young person
kale	informal fare well
Ekisaka	A plant used for medicine
ekigo	A deep ditch around a castle
omuhukirwa	A ruler exercising authority on behalf of a monarch
Enkoko y'ekisaka rwombeka kiju	Coucal
idirisa	Opening in wall
Emihendo-kutembesibwa	Causing inflation
Kugesa	The process of gathering crops
Endagaano	Mutual understanding
Hagati	In the middle of
Orukurato	An assembly of religious leaders
Ekizimba	An abnormal growth
Omuswija	Abnormally high body temperature
Kuzaara	The act of a cow giving birth
kwera	not dirty; to make clean
Bodaboda	Motorcycle taxi used for transport
Kusemererwa	Feeling pleasure
Kulya	Feed on leaves and shoots
amatungo	Farm animals regarded as an asset.
omwaga	unpleasently rough or jarring to the senses
Akabumbirwe	A small statue
enfakati	A man who has lost his spouse by death and has not remarried
akantonyi rwoga musenyi	Sandpiper
Ensorongya.	A strong, regular, repeated pattern
enkede	A primate that may raid crops
okusiisa	An immoral act considered against divine law
Ensoborra	A report or description
Jaini	An ancient Indian religion
Kuserra	Travel through an unfamiliar area to learn about it
Embandwa	A person claiming to communicate with the dead
ekinyakusiisa	A destructive insect or animal
Nkokukirikwo	Art representing things as they are
Kuzaara	The act of a goat giving birth
Ekyolooni	A simple toilet
Biri	Plural of that
Akame	A small mammal raised for meat
Ensoha	A rounded container
Akisiika	A defensive wall or structure
Omuzaano	Playful, sport
esaaha	time-measuring device
Omweru	Period of rapid growth
Ekikoora	Part of a plant
Okubanza	Before all
Kuli	In that place
Kusisikara	Weakening or damage
ekisanduuko	A wooden container for transporting goods
ensenene	A plant-eating insect
Kuteera	Separating grain from stalks
Kwetonda	Express regret for something that one has done wrong
entahya	Money received
kwata	to have a hand
Bwangu	In the near future
Endere	A wind instrument with holes
Enkulingo	A small, rounded stone
Enseruliza	A medical intervention
kuhindurahindura	A character who undergoes significant internal change throughout the story.
Omukatale	Ability to reach markets
kusarura	Words carved on a surface
sumera	An ancient civilization in Mesopotamia
ekitebe	group living in same place
Ekituuti	A raised platform for preaching
Ekirooto	A series of thoughts during sleep, sometimes seen as messages
Obugango	An explosive mixture
barugu	A large tuber, often white-fleshed
Ababwongo	The Ababwongo are of clans in Bunyoro and Tooro
enjara	Need for food
akahuuka	Microorganisms causing plant disease
akalitango	A series of military operations
Vedasi	The most ancient Hindu scriptures
ekinyonyi rucumita	Darter
Ekihonole	An injury with discoloration of the skin
Arorahara	He sees far
kwoomangana	The state of lacking moisture
omunyoro	A leader or ruler of a people or clan
kwerinda	careful to avoid potential problems
Butidda	A machine for hurling stones
Katale-kainuka	Rising market
Ekinyonyi rwehungura	Roller
engango	A tool for gathering leaves or leveling soil
kirahukire	easy to see or understand
ekizibaho	outer wear for cold
Kumalirra	An exam at the end of a term
Singira	An event believed to be a divine message
kuhwihaira	The series of events that build suspense and lead to the climax.
Ekiyudaaya-hati	A liberal branch of Judaism
enganikyo	Relating to history
Ebyokukozesa	Necessary items for activity.
sobora	to be able
kiihe	Extreme scarcity of food
Ruddida	A detailed analysis and assessment
Eseeta	A fragrant resin used in incense
nomanyisaki	Request for clarification
obwire	Atmospheric conditions
Kuruga	Indicating origin
Ekiibo	Traditional millet basket
Abaitira	Abaitira are cattle keepers from the past.
Okubatizibwa	A Christian rite of sprinkling water
Ensahu	container for carrying
wetegeereze	to examine ; resturant bill
okwijuka	The action of remembering
gurukyagunukya	pause in indecision before saying or doing something
kubuumba	Pots, dishes, and other articles made of fired clay
Ayoleka	He guides
Omwemi	An angel who rebelled against God
Hokuraara	A flat, a set of rooms.
