Runyoro,English
muhogo,Cassava
ubuhunga bwa muhogo,Cassava flour
ebikora bya muhogo,Cassava leaves
tulima muhogo mumusiri gwaitu,We grow cassava in our garden
muhogo kyokulya kyamunuka mu bunyoro,Cassava is a staple food in Bunyoro
omuceri,Rice
tucumba omuceri buli kiro,We cook rice every day
omuceri gukura mukyeya,Rice grows in wetlands
omuhendo gwo'muceri gweyongire,The price of rice has increased
ekiyuni,Yam
ebiyuni babigesa omukyanda,Yams are harvested in the dry season
ekikeke,Pumpkin
ebikora bye'bikeke babirya,Pumpkin leaves are edible
tubyara ebikeke haihi no'rugo,We planted pumpkins near the fence
kugesa,Harvesting
nitugesa ebicoli kiro kinu,We are harvesting maize today
amagesa gabaire marungi omwaka gunu,The harvest was good this year
hanyuma yo'kugesa twahura esingo,After harvesting we store the grain
akasumi kokugesa kaba kasumi kokusemererwa,Harvest time is a time of joy
okusesira ebirimwa amaizi goruseke,Irrigation
okusesira ebirimwa amaizi goruseke kiyambaho ebirimwa kukura omukasumi ke'kyanda,Irrigation helps crops grow in dry season
abalimi bakozesa okusesira ebirimwa amaizi omumisiri yabo,The farmers use irrigation to water their fields
okurimira,Plowing
turimira omusiri tutakabyaire,We plow the field before planting
etrakita ikozesibwa okurimira,The tractor is used for plowing
okusiga,Sowing
tusiga embibo omutandikwa ye'njura,We sow seeds at the beginning of the rainy season
okusiga kukorwa hanyuma yo'kulima,Sowing is done after plowing
okugesa,Reaping
abalimi nibagesa oburo,The farmers are reaping millet
okugesa kukolebya hanyuma ye'bimera byezire,Reaping is done when the crop is mature
okusegesa,Threshing
tusegesa oburo okubaganizamu esingo,We thresh millet to separate the grain
okusegesa mulimo gugumire,Threshing is hard work
okusalira,Pruning
tusalira omwani nukyo twongeze amagesa,We prune coffee trees to increase yield
okusalira kiyambaho ebirimwa kukura kurungi,Pruning helps the plant grow better
okwombera,Weeding
twombera omusiri buli wiiki,We weed the garden every week
okwombera kwihamu ebisaka ebtakwetagibya mumusiri,Weeding removes unwanted plants
enkoko,Chicken
tulinda enkoko omuka,We keep chickens at home
enkoko zalika amahuli bulikiro,The chicken lays eggs every day
enkoko zirya esingo ne'bihuka,Chickens eat grain and insects
akame,Rabbit
tulinda obume habye'nyama,We raise rabbits for meat
enyama yo'bume erimu ebirisa,Rabbit meat is nutritious
okukama,Milking
tukama ente buli nyenkyakara,We milk the cows every morning
okukama kukorebya emirundi ebiri omu kiro,Milking is done twice a day
amata marungi hali abana abato,Fresh milk is good for children
ebifu by'ebimera,Compost
ebifu by'ebimera biyongera orwezo mwitaka,Compost improves soil fertility
tukora ebifu by'ebimera okuruga mubifu byebimera,We make compost from plant waste
orwezo,Manure
obusa bw'ente rwezo rurungi,Cow manure is good fertilizer
tumasa orwezo omumusiri,We spread manure on the garden
orwezo ruhindura itaka,Manure improves soil quality
enjura,Rainfall
enjura enungi eba nungi muno hali abalimi,Good rainfall is important for farming
enjura sizoni enu ebaire mbi,The rainfall this season was poor
ebirimwa nibyenda enjura ekumara kukura,Crops need enough rainfall to grow
efuka,Hoe
efuka kikwatwa kikuru mukulima,The hoe is the main farming tool
tukozesa efuka kulima omusiri,We use a hoe to dig the garden
efuka etweire eyorobya omulimo,A sharp hoe makes work easier
ekisalizo,Machete
tukozesa ekisalizo okuhunjya ekisaka,We use a machete to clear the bush
ekisalizo kikozesibwa okusara emikonde ye'bitoke,The machete is used to cut banana stems
enaijoro,Sickle
tukozesa enaijoro okugesa oburo,We use a sickle to harvest millet
enengere,Wheelbarrow
tukozesa enengere okuhimba itaka,We use a wheelbarrow to carry soil
enengere ehimba emigugu ekuremera,The wheelbarrow carries heavy loads
kutunda aheru yihanga,Export
uganda etunda omwani mumahanga maingi,Uganda exports coffee to many countries
okutunda omwani aheru yihanga kireta sente hali abalimi,Coffee export brings money to farmers
ekitebe ky'abalimi,Cooperative
abalimi bataha mukitebe nukwo batundire hamu,Farmers join cooperatives to sell together
abe'bitebe bagura ebicoli hali abalimi,The cooperative buys maize from farmers
oburo,Millet
tulima oburo omumisiri yaitu,We grow millet in our fields
oburo babukozesa okukora tonto,Millet is used to make local beer
obusera byo'buro bwine ekirisa,Millet porridge is nutritious
omugusa,Sorghum
omugusa tiguhura ekyanda,Sorghum is drought resistant
omwani,Coffee
omwani kirimwa kya sente ekyomugaso muno mu uganda,Coffee is an important cash crop in Uganda
tugesa omwani kabiri omumwaka,We harvest coffee twice a year
ebiiti bwomwani nibyetaga kubisalira,Coffee trees need pruning
ebinyobwa,Groundnut
ebinyobwa bine potaini nyingi,Groundnuts are rich in protein
tubyara ebinyobwa hanyuma ye'njura,We plant groundnuts after the rains
awutu ye'binyobwa bagikozesa kucumba,Groundnut oil is used for cooking
ebitakuli,Sweet potato
ebitakuli bikura kurungi omwitaka ryo'mumusenyi,Sweet potatoes grow well in sandy soil
tugesa ebitakuli hanyuma ya'mezi asaatu,We harvest sweet potatoes after three months
ebilaya,Potato
ebilaya babibyara omurwere,Potatoes are grown in highland areas
tutogosa ebilaya habwe'kulya,We boil potatoes for food
ente,Cattle
ente nungi muno mukulinda ebisoro mu bunyoro,Cattle are important livestock in Bunyoro
turiisa ente habe'nyama n'amata,We keep cattle for milk and meat
ente ziriisibya omu rwere,Cattle graze in the fields
empunu,Pig
turiisa empunu habye'nyama,We keep pigs for meat
empunu ziriya ebisigirwe byo'mukicumbiro,Pigs eat kitchen waste
okulinda empunu kirimu amagoba,Pig farming is profitable
okuriisa ente za'mata,Dairy farming
okuriisa ente za'mata kireta sente omumaka,Dairy farming provides income for families
ente zamata zikamwa amata maingi,Dairy cows produce a lot of milk
okutwara itaka,Soil erosion
okutwara itaka kisisa emisiri,Soil erosion destroys farmland
emiiti etangira okutwarwa kwitaka,Trees prevent soil erosion
omuwendo,Price
omuwendo gw'ebicooli gugezire haiguru,The price of maize has gone up
abalimi betoimbaita habwemihendo okuba hansi,Farmers complain about low prices
kutunda /kuguza,Sell
abalimi batunda/bakaguza ebiriimwa byabo omu katale,Farmers sell their produce at the market
tutunda/tukaguza ebitooke buli wiiki,We sell bananas every week
okugura,Buy
tugura embibo kuruga mukitebe,We buy seeds from the cooperative
gavumenti egura esingo hali abalimi,The government buys grain from farmers
aba,"Who, of, these, for"
abaanyu,Someone's relatives
abuuka,To rise quick ly
abuurra,"To undo, unfasten"
abagomborozi,Sub county chiefs
abange,Mine
abamasaza,County chiefs
abatongole,Sub-parish chiefs
abemiruka,Parish chiefs
agange,Mine
agutamba,He who relieves distress
aguurra,To thin out seedlings
aheeru,"Adv., out, outside"
aheeru ya,Wait for
aho,There
abonaaho,"Immediately, at once"
ahukaniza,"To separate, divide, differentiate"
ahuza,Entrust with
abukana,To part from
ahonaaho,At that very moment
akaamuje,Squirrel
bukamuje,Squirrels
ahanyima,Indicating sequence of events
hamwango,Eagle
obwango,Eagles
akagemo,"Force,compulsion"
obugemo,"Force,compulsions"
haiguru mubicuu,Up in the sky
akagirita,"Razor blade,shaving blade"
obugirita,"Razor blade,shaving blades"
akagobo,Win in a game
obugoba,Win in a games
akasumi kataito,Shortest period of time
obusumi butaito,Shortest period of times
ekyeeya,A type of swamp
ebyeeya,Type of swamps
akabwegura,A small caterpillar
ebibwegura,Small caterpillars
akahooho,Nice scent
obuhoho,Nice scents
akababagazi,Initial stage of flowering
obubabagazi,Initial stage of flowerings
akahuna,Silence due to suprise
obuhuna,Silence due to suprises
omunya,Small lizard-like animal
eminya,Small lizard-like animals
akabubi,Hymen: vagina membrane
emibibi,Hymen: vagina membranes
akaimeeme,End of breastbone
obwimeeme,End of breastbones
akaburyo,Hillock: small hill
obuburyo,Hillock: small hills
kahumizi,Sparrow-hawk
obuhumizi,Sparrow-hawks
akakorwa,Weasel
obukorwa,Weasels
akacancabari,Rags:an old torn cloth
obucancabari,Rags:an old torn cloths
akasengijo,A sieve
obusengijo,Sieves
enkojo,Blemish
enkojo,Blemishes
ekitengo,A very old cloth
ebitengo,Very old cloths
akaina/ekina,"Hole,small"
obwina/ebina,"Hole,smalls"
ekihuguhugu,Bat: a flying mammal
ebihuguhugu,Bat: a flying mammals
emboro,Penis
emboro,Penises
ekika kye'njoka,A type of snake
ebika bye'njoka,Type of snakes
kihinguraniza,Something done excessively
bihinguraniza,Something done excessivelies
akadebe,Pail or bucket
edebe,Pail or buckets
akafunjo,Cyperus papyrus
ebifunjo,Cyperus papyruses
akairima,Darkness
omwirima,Darknesses
akairiringwa,Whirlwind
obwiriringwa,Whirlwinds
akagoroda,Bungle: a bracelet
obugoroda,Bungle: a bracelets
akagwe,Calamity: unexpected bad situation
obugwe,Calamity: unexpected bad situations
akairirizi,"Twilight,dusk"
obwiririzi,"Twilight,dusks"
akagenda-kahiire,. A brownish grasshopper
obugenda-buhiire,. A brownish grasshoppers
akairukairukaine,Chaos
obwirukairukaine,Chaoses
empaka,Competetion for something
