muhogo	Cassava
ubuhunga bwa muhogo	Cassava flour
ebikora bya muhogo	Cassava leaves
tulima muhogo mumusiri gwaitu	We grow cassava in our garden
muhogo kyokulya kyamunuka mu bunyoro	Cassava is a staple food in Bunyoro
omuceri	Rice
tucumba omuceri buli kiro	We cook rice every day
omuceri gukura mukyeya	Rice grows in wetlands
omuhendo gwo'muceri gweyongire	The price of rice has increased
ekiyuni	Yam
ebiyuni babigesa omukyanda	Yams are harvested in the dry season
ekikeke	Pumpkin
ebikora bye'bikeke babirya	Pumpkin leaves are edible
tubyara ebikeke haihi no'rugo	We planted pumpkins near the fence
kugesa	Harvesting
nitugesa ebicoli kiro kinu	We are harvesting maize today
amagesa gabaire marungi omwaka gunu	The harvest was good this year
hanyuma yo'kugesa twahura esingo	After harvesting we store the grain
akasumi kokugesa kaba kasumi kokusemererwa	Harvest time is a time of joy
okusesira ebirimwa amaizi goruseke	Irrigation
okusesira ebirimwa amaizi goruseke kiyambaho ebirimwa kukura omukasumi ke'kyanda	Irrigation helps crops grow in dry season
abalimi bakozesa okusesira ebirimwa amaizi omumisiri yabo	The farmers use irrigation to water their fields
okurimira	Plowing
turimira omusiri tutakabyaire	We plow the field before planting
etrakita ikozesibwa okurimira	The tractor is used for plowing
okusiga	Sowing
tusiga embibo omutandikwa ye'njura	We sow seeds at the beginning of the rainy season
okusiga kukorwa hanyuma yo'kulima	Sowing is done after plowing
okugesa	Reaping
abalimi nibagesa oburo	The farmers are reaping millet
okugesa kukolebya hanyuma ye'bimera byezire	Reaping is done when the crop is mature
okusegesa	Threshing
tusegesa oburo okubaganizamu esingo	We thresh millet to separate the grain
okusegesa mulimo gugumire	Threshing is hard work
okusalira	Pruning
tusalira omwani nukyo twongeze amagesa	We prune coffee trees to increase yield
okusalira kiyambaho ebirimwa kukura kurungi	Pruning helps the plant grow better
okwombera	Weeding
twombera omusiri buli wiiki	We weed the garden every week
okwombera kwihamu ebisaka ebtakwetagibya mumusiri	Weeding removes unwanted plants
enkoko	Chicken
tulinda enkoko omuka	We keep chickens at home
enkoko zalika amahuli bulikiro	The chicken lays eggs every day
enkoko zirya esingo ne'bihuka	Chickens eat grain and insects
akame	Rabbit
tulinda obume habye'nyama	We raise rabbits for meat
enyama yo'bume erimu ebirisa	Rabbit meat is nutritious
okukama	Milking
tukama ente buli nyenkyakara	We milk the cows every morning
okukama kukorebya emirundi ebiri omu kiro	Milking is done twice a day
amata marungi hali abana abato	Fresh milk is good for children
ebifu by'ebimera	Compost
ebifu by'ebimera biyongera orwezo mwitaka	Compost improves soil fertility
tukora ebifu by'ebimera okuruga mubifu byebimera	We make compost from plant waste
orwezo	Manure
obusa bw'ente rwezo rurungi	Cow manure is good fertilizer
tumasa orwezo omumusiri	We spread manure on the garden
orwezo ruhindura itaka	Manure improves soil quality
enjura	Rainfall
enjura enungi eba nungi muno hali abalimi	Good rainfall is important for farming
enjura sizoni enu ebaire mbi	The rainfall this season was poor
ebirimwa nibyenda enjura ekumara kukura	Crops need enough rainfall to grow
efuka	Hoe
efuka kikwatwa kikuru mukulima	The hoe is the main farming tool
tukozesa efuka kulima omusiri	We use a hoe to dig the garden
efuka etweire eyorobya omulimo	A sharp hoe makes work easier
ekisalizo	Machete
tukozesa ekisalizo okuhunjya ekisaka	We use a machete to clear the bush
ekisalizo kikozesibwa okusara emikonde ye'bitoke	The machete is used to cut banana stems
enaijoro	Sickle
tukozesa enaijoro okugesa oburo	We use a sickle to harvest millet
enengere	Wheelbarrow
tukozesa enengere okuhimba itaka	We use a wheelbarrow to carry soil
enengere ehimba emigugu ekuremera	The wheelbarrow carries heavy loads
kutunda aheru yihanga	Export
uganda etunda omwani mumahanga maingi	Uganda exports coffee to many countries
okutunda omwani aheru yihanga kireta sente hali abalimi	Coffee export brings money to farmers
ekitebe ky'abalimi	Cooperative
abalimi bataha mukitebe nukwo batundire hamu	Farmers join cooperatives to sell together
abe'bitebe bagura ebicoli hali abalimi	The cooperative buys maize from farmers
oburo	Millet
tulima oburo omumisiri yaitu	We grow millet in our fields
oburo babukozesa okukora tonto	Millet is used to make local beer
obusera byo'buro bwine ekirisa	Millet porridge is nutritious
omugusa	Sorghum
omugusa tiguhura ekyanda	Sorghum is drought resistant
omwani	Coffee
omwani kirimwa kya sente ekyomugaso muno mu uganda	Coffee is an important cash crop in Uganda
tugesa omwani kabiri omumwaka	We harvest coffee twice a year
ebiiti bwomwani nibyetaga kubisalira	Coffee trees need pruning
ebinyobwa	Groundnut
ebinyobwa bine potaini nyingi	Groundnuts are rich in protein
tubyara ebinyobwa hanyuma ye'njura	We plant groundnuts after the rains
awutu ye'binyobwa bagikozesa kucumba	Groundnut oil is used for cooking
ebitakuli	Sweet potato
ebitakuli bikura kurungi omwitaka ryo'mumusenyi	Sweet potatoes grow well in sandy soil
tugesa ebitakuli hanyuma ya'mezi asaatu	We harvest sweet potatoes after three months
ebilaya	Potato
ebilaya babibyara omurwere	Potatoes are grown in highland areas
tutogosa ebilaya habwe'kulya	We boil potatoes for food
ente	Cattle
ente nungi muno mukulinda ebisoro mu bunyoro	Cattle are important livestock in Bunyoro
turiisa ente habe'nyama n'amata	We keep cattle for milk and meat
ente ziriisibya omu rwere	Cattle graze in the fields
empunu	Pig
turiisa empunu habye'nyama	We keep pigs for meat
empunu ziriya ebisigirwe byo'mukicumbiro	Pigs eat kitchen waste
okulinda empunu kirimu amagoba	Pig farming is profitable
okuriisa ente za'mata	Dairy farming
okuriisa ente za'mata kireta sente omumaka	Dairy farming provides income for families
ente zamata zikamwa amata maingi	Dairy cows produce a lot of milk
okutwara itaka	Soil erosion
okutwara itaka kisisa emisiri	Soil erosion destroys farmland
emiiti etangira okutwarwa kwitaka	Trees prevent soil erosion
omuwendo	Price
omuwendo gw'ebicooli gugezire haiguru	The price of maize has gone up
abalimi betoimbaita habwemihendo okuba hansi	Farmers complain about low prices
kutunda /kuguza	Sell
abalimi batunda/bakaguza ebiriimwa byabo omu katale	Farmers sell their produce at the market
tutunda/tukaguza ebitooke buli wiiki	We sell bananas every week
okugura	Buy
tugura embibo kuruga mukitebe	We buy seeds from the cooperative
gavumenti egura esingo hali abalimi	The government buys grain from farmers
aba	Who, of, these, for
abaanyu	Someone's relatives
abuuka	To rise quick ly
abuurra	To undo, unfasten
abagomborozi	Sub county chiefs
abange	Mine
abamasaza	County chiefs
abatongole	Sub-parish chiefs
abemiruka	Parish chiefs
agange	Mine
agutamba	He who relieves distress
aguurra	To thin out seedlings
aheeru	Adv., out, outside
aheeru ya	Wait for
aho	There
abonaaho	Immediately, at once
ahukaniza	To separate, divide, differentiate
ahuza	Entrust with
abukana	To part from
ahonaaho	At that very moment
akaamuje	Squirrel
bukamuje	Squirrels
ahanyima	Indicating sequence of events
hamwango	Eagle
obwango	Eagles
akagemo	Force,compulsion
obugemo	Force,compulsions
haiguru mubicuu	Up in the sky
akagirita	Razor blade,shaving blade
obugirita	Razor blade,shaving blades
akagobo	Win in a game
obugoba	Win in a games
akasumi kataito	Shortest period of time
obusumi butaito	Shortest period of times
ekyeeya	A type of swamp
ebyeeya	Type of swamps
akabwegura	A small caterpillar
ebibwegura	Small caterpillars
akahooho	Nice scent
obuhoho	Nice scents
akababagazi	Initial stage of flowering
obubabagazi	Initial stage of flowerings
akahuna	Silence due to suprise
obuhuna	Silence due to suprises
omunya	Small lizard-like animal
eminya	Small lizard-like animals
akabubi	Hymen: vagina membrane
emibibi	Hymen: vagina membranes
akaimeeme	End of breastbone
obwimeeme	End of breastbones
akaburyo	Hillock: small hill
obuburyo	Hillock: small hills
kahumizi	Sparrow-hawk
obuhumizi	Sparrow-hawks
akakorwa	Weasel
obukorwa	Weasels
akacancabari	Rags:an old torn cloth
obucancabari	Rags:an old torn cloths
akasengijo	A sieve
obusengijo	Sieves
enkojo	Blemish
enkojo	Blemishes
ekitengo	A very old cloth
ebitengo	Very old cloths
akaina/ekina	Hole,small
obwina/ebina	Hole,smalls
ekihuguhugu	Bat: a flying mammal
ebihuguhugu	Bat: a flying mammals
emboro	Penis
emboro	Penises
ekika kye'njoka	A type of snake
ebika bye'njoka	Type of snakes
kihinguraniza	Something done excessively
bihinguraniza	Something done excessivelies
akadebe	Pail or bucket
edebe	Pail or buckets
akafunjo	Cyperus papyrus
ebifunjo	Cyperus papyruses
akairima	Darkness
omwirima	Darknesses
akairiringwa	Whirlwind
obwiriringwa	Whirlwinds
akagoroda	Bungle: a bracelet
obugoroda	Bungle: a bracelets
akagwe	Calamity: unexpected bad situation
obugwe	Calamity: unexpected bad situations
akairirizi	Twilight,dusk
obwiririzi	Twilight,dusks
akagenda-kahiire	. A brownish grasshopper
obugenda-buhiire	. A brownish grasshoppers
akairukairukaine	Chaos
obwirukairukaine	Chaoses
empaka	Competetion for something
empaka	Competetion for somethings
akaisikina	Hiccup
obwisikina	Hiccups
akahimba	Clitoris
obuhimba	Clitorises
akahoiho	A small moth
obuhoiho	Small moths
akaisikondo	Hiccup
obwisikondo	Hiccups
akahuna	A state of confusion
obuhuna	State of confusions
akahungabeebe	A small flying termite
obuhangabeebe	Small flying termites
akajoogo	Contempt
obujoogo	Contempts
akajugo	A pen cover
obujugo	Pen covers
akajunde	Stench: an unpleasant smell
obujunde	Stench: an unpleasant smells
akakiro	A small hillock
obukiro	Small hillocks
akaizigorro	Dizziness
obwizigorro	Dizzinesses
akajabago	A muddy area
obujabago	Muddy areas
akanuriirizi	Sweet taste
obunuriirizi	Sweet tastes
akajabirro	Over excitement
obujabirro	Over excitements
akajagarro	Commotion
obujagarro	Commotions
kwinganiza	To level, flat
kujarra	To spread for
kwija	To come
alimansr	Diamond
tandika	To get started
akajaiko	Passion for roaming
obujaiko	Passion for roamings
akajangu	Small or beautiful cat
obujangu	Small or beautiful cats
akanyamukara	Nut grass
obunyamukara	Nut grasses
akajanja	Superficial behaviour
orujanja	Superficial behaviours
akanyamukira	Dung maggot
ombunyamukira	Dung maggots
akanyamuniini	A fresh fried grasshopper
obunyamukara	Fresh fried grasshoppers
aktindinda	Small snail
obutindinda	Small snails
akanyamurera	Flute: a musical instrument
obunyamurere	Flute: a musical instruments
akanyamwenyi	Squirrel
obunyamwenyi	Squirrels
ekyena kye'kitoke	An undeveloped banana
ebyabana bye'bitoke	Undeveloped bananas
ambuurra	To exercise, remove evil
amiirra	To call a bud
kwamira	To shout at
kujokoza	Continuous disturbance or provocation
kujokoza	Continuous disturbance or provocations
akanyuunyarume	Shrub eaten by goats
obunyuunyarume	Shrub eaten by goatses
akanywanisa	: hyphen
obunywanisa	: hyphens
akanywero	:a very tight cloth
obunyero	:a very tight cloths
akaradaari	:mustard seed
obukaradaari	:mustard seeds
akaragwa	:inherited trait
oburagwa	:inherited traits
akarande	:inherited character or trait
oburandaine	:inherited character or traits
akarebure	:a slunderous utterance
oburebure	:a slunderous utterances
akasirimuko	: a steep slope
obusirimuko	: a steep slopes
muyaye	:sarcasm
obuyaye	:sarcasms
kwaka	:lust for sex
kwaka	:lust for sexes
kwagura	To scratch the body
akatiko	:peer pressure
obutiko	:peer pressures
akarondo	:lineage
oburondo	:lineages
akarungi	:something good, or beautiful
ebirungi	:something good, or beautifuls
akarwariro	:a clinic
oburwaro	:a clinics
akashuumo	:.a steep slope
akakokomoko	:.a steep slopes
akatima	:valve for a tyre
obutima	:valve for a tyres
akasisira	:a small hut
obusisira	:a small huts
akasirimuko	:a sloppy place
obusirimuko	:a sloppy places
akasirimuko	Slope, descent
obusirimuko	Slope, descents
akaveera	:plastic sheeting
obuvera	:plastic sheetings
allah	:God in Islamic religion
amaarwa	:beer: an alcoholic drink
amabere ge'mbwa	: dog teats
amadaraka	:being stylish
amafaranga	:Rwandese currency
makune	: hospitable people
eraama	:spots
obutabaijuko	:conflicts, intrigues, etc
ebisoko	:first leaves of beans
ebikarakate	Ish scales
esande	Undiluted banana juice.)
amakuute	Neighbouring countries)
amakwenkwe	A hearty laugh
amacande	Sunflower)
amamera	Germinated plants
enyugunyu	Pelvic bones
amaranga gi'zoba	Rays of the sun
ekitungutana	Sweating profusely
ebika bye'nkyanzi	Type of beads
amaizi aga kufuka	Water;cold water
amasa	Nothing, emptiness
ebisansa	.dry banana leaves
amasanyarazi	. Electricity
amasereka	Breastmilk
amasobe	. A cat's dung
ebisodo	Bird's droppings
amasununu	Fresh milk
amasya	Burns
amaizi aga kwokya	Hot water
entangatangano	A road junction
amatembero	Steps, or staircases
amaterekero	Shelves
amatone	Dots or spots
kunihira	Expectancy, suspense, uncertaint
abarongo	Identical twins
amazina	Dancing styles
nangwa	No: a negative response
ibale lyo'muhendo	Precious stone
ekiro kyo'kutemba mwiguru	Ascension Day
asidi	Acid
kasisira	Small hut
obusisira	Small huts
akakaikuru kamu	One million
akakaikuru kamu	One millions
akakekeeyo/ akasenginjo	A sieve
obukekeyo/ obusenginjo	Sieves
akakongoijo	Heel
obukongoijo	Heels
akakonkomoko	Slope
obukokomoko	Slopes
akakunukizi	Apostrophe
obukunukizi	Apostrophes
karandaranda	A creeping plant
kurandaranda	Creeping plants
akalebule	A careless talk
obulebule	Careless talks
akalebulebu	Difficult times
obulebule	Difficult timeses
akaleecu	Some peace
obuleecu	Some peaces
akaregete	Small packet
oburegete	Small packets
akaleju	Chin
obuleju	Chins
akalenge	Thin leg
obulenge	Thin legs
edebe	Pail,bucket
edebe	Pail,buckets
akamaganda	Tangerine
obumaganda	Tangerines
akamanyiso/akarorwaho	Sign
obumanyiso/oburorwaho	Signs
kame	Hare
obume	Hares
akameeza	Stool,lockable desk
obumeza	Stool,lockable desks
akamogo	A mark,a scar
obumogo	Mark,a scars
akanenero	A chick-bone
obunenero	Chick-bones
akaniini	Finely ground millet flour
obuniini	Finely ground millet flours
akanwa	Mouth
obunwa	Mouths
akanyamankogoto	Tortoise
obunyamankogoto	Tortoises
akanyamuryaine	Tumult, uproar
obunyamuryaine	Tumult, uproars
ekika kyakatuzi	Type of mushroom
ebika byo'butuzi	Type of mushrooms
akatuzi ko'bwera	Small white mushroom
obutuzi byo'bwera	Small white mushrooms
akanyuunyambuzi	Yellow oxalis
obunyuunyambuzi	Yellow oxalises
kondomu	Small ball, condom
kuondomu	Small ball, condoms
akapimpina	Chameleon
enyampimpina	Chameleons
ekisirani	Misfortune curse grumbling
akaronkoronko	Trait of weakness
oburonkoronko	Trait of weaknesses
akarorwaho	Sign, symbol
oburorwaho	Sign, symbols
akarumanfuuzi	Tiny biting fly
oburumanfuuzi	Tiny biting flies
akahumuza	A comma
obuhumuza	Commas
akati kisoke	Comb, hair brush
obuti bwisoke	Comb, hair brushes
akasarre	Danger, difficulty
obusarre	Danger, difficulties
akasasamaro	Greatcommotion, confusion
obusasamaro	Greatcommotion, confusions
akasekende	Shaker
obusekende	Shakers
esigo	Seed
esigo	Seeds
omwirima	Complete darkness
omwirima	Complete darknesses
akasiisira	Make shift hut
obusiisira	Make shift huts
akasondaburo	Epiglottis
obusondaburo	Epiglottises
akasolya	Tip of a roof
obusolya	Tip of a roofs
akasonga	Tip of something
obusonga	Tip of somethings
akasoono	Enticement, persuasion
obusoono	Enticement, persuasions
akasoonooki	Morning sunshine
obusoonooki	Morning sunshines
akasumi	Time, season
obusumi	Time, seasons
akasungu	A straw of grass
obusungu	Straw of grasses
akaswa	Small anthill
obuswa	Small anthills
akataama	Small sheep
obutaama	Small sheeps
akatale	Market
obutale	Markets
akatambaara	Handkerchief
obutambaara	Handkerchiefs
akatiiko	Newly found excitement
