runyoro_term,english_term,part_of_speech,domain,definition_en,notes
muhogo,Cassava,,general,,
ubuhunga bwa muhogo,Cassava flour,,general,,
ebikora bya muhogo,Cassava leaves,,general,,
omuceri,Rice,,agriculture,,
ekiyuni,Yam,,general,,
ekikeke,Pumpkin,,general,,
kugesa,Harvesting,,agriculture,,
okurimira,Plowing,,general,,
okusiga,Sowing,,general,,
okugesa,Reaping,,general,,
okusegesa,Threshing,,general,,
okusalira,Pruning,,general,,
okwombera,Weeding,,general,,
enkoko,Chicken,,general,,
akame,Rabbit,,general,,
okukama,Milking,,general,,
ebifu by'ebimera,Compost,,general,,
orwezo,Manure,,general,,
enjura,Rainfall,,general,,
efuka,Hoe,,general,,
ekisalizo,Machete,,general,,
enaijoro,Sickle,,general,,
enengere,Wheelbarrow,,general,,
kutunda aheru yihanga,Export,,general,,
ekitebe ky'abalimi,Cooperative,,general,,
oburo,Millet,,general,,
omugusa,Sorghum,,general,,
omwani,Coffee,,general,,
ebinyobwa,Groundnut,,general,,
ebitakuli,Sweet potato,,general,,
ebilaya,Potato,,general,,
ente,Cattle,,general,,
empunu,Pig,,general,,
okuriisa ente za'mata,Dairy farming,,agriculture,,
okutwara itaka,Soil erosion,,agriculture,,
omuwendo,Price,,agriculture,,
kutunda /kuguza,Sell,,general,,
okugura,Buy,,general,,
abaanyu,[GENERAL_NOUN] someone's relatives,,general,,
abange,[GENERAL_NOUN] mine,,general,,
abamasaza,[GENERAL_NOUN] county chiefs,,general,,
abatongole,[GENERAL_NOUN] sub-parish chiefs,,general,,
abemiruka,[GENERAL_NOUN] parish chiefs,,general,,
agange,[GENERAL_NOUN] mine,,general,,
aheeru ya,[GENERAL_NOUN] wait for,,general,,
aho,[GENERAL_NOUN] there,,general,,
ahuza,[GENERAL_NOUN] entrust with,,general,,
akaamuje,[COMMON_ANIMALS_NOUN] squirrel,,general,,
bukamuje,[COMMON_ANIMALS_NOUN_PLURAL] squirrels,,general,,
hamwango,[COMMON_ANIMALS_NOUN] eagle,,general,,
obwango,[COMMON_ANIMALS_NOUN_PLURAL] eagles,,general,,
akagemo,"[GENERAL_NOUN] force,compulsion",,general,,
obugemo,"[GENERAL_NOUN_PLURAL] force,compulsions",,general,,
ebibwegura,[COMMON_ANIMALS_NOUN_PLURAL] small caterpillars,,general,,
akahooho,[GENERAL_NOUN] nice scent,,general,,
obuhoho,[GENERAL_NOUN_PLURAL] nice scents,,general,,
kahumizi,[COMMON_ANIMALS_NOUN] sparrow-hawk,,general,,
obuhumizi,[COMMON_ANIMALS_NOUN_PLURAL] sparrow-hawks,,general,,
akakorwa,[GENERAL_NOUN] weasel,,general,,
obukorwa,[GENERAL_NOUN_PLURAL] weasels,,general,,
akasengijo,[GENERAL_NOUN] a sieve,,general,,
obusengijo,[GENERAL_NOUN_PLURAL] sieves,,general,,
enkojo,[GENERAL_NOUN] blemish,,general,,
enkojo,[GENERAL_NOUN_PLURAL] blemishes,,general,,
akaina/ekina,"[GENERAL_NOUN] hole,small",,general,,
obwina/ebina,"[GENERAL_NOUN_PLURAL] hole,smalls",,general,,
emboro,[GENERAL_NOUN] penis,,general,,
emboro,[GENERAL_NOUN_PLURAL] penises,,general,,
akafunjo,[GENERAL_NOUN] cyperus papyrus,,general,,
ebifunjo,[GENERAL_NOUN_PLURAL] cyperus papyruses,,general,,
akairima,[GENERAL_NOUN] darkness,,general,,
omwirima,[GENERAL_NOUN_PLURAL] darknesses,,general,,
akairiringwa,[NATURE_AND_ENVIRONMENT_NOUN] whirlwind,,general,,
obwiriringwa,[NATURE_AND_ENVIRONMENT_NOUN_PLURAL] whirlwinds,,general,,
akairirizi,"[GENERAL_NOUN] twilight,dusk",,general,,
obwiririzi,"[GENERAL_NOUN_PLURAL] twilight,dusks",,general,,
akairukairukaine,[GENERAL_NOUN] chaos,,general,,
obwirukairukaine,[GENERAL_NOUN_PLURAL] chaoses,,general,,
akaisikina,[GENERAL_NOUN] hiccup,,general,,
obwisikina,[GENERAL_NOUN_PLURAL] hiccups,,general,,
akahimba,[GENERAL_NOUN] clitoris,,general,,
obuhimba,[GENERAL_NOUN_PLURAL] clitorises,,general,,
obuhoiho,[COMMON_ANIMALS_NOUN_PLURAL] small moths,,general,,
akaisikondo,[GENERAL_NOUN] hiccup,,general,,
obwisikondo,[GENERAL_NOUN_PLURAL] hiccups,,general,,
akajoogo,[GENERAL_NOUN] contempt,,general,,
obujoogo,[GENERAL_NOUN_PLURAL] contempts,,general,,
obujugo,[GENERAL_NOUN_PLURAL] pen covers,,general,,
obukiro,[GENERAL_NOUN_PLURAL] small hillocks,,general,,
akaizigorro,[GENERAL_NOUN] dizziness,,general,,
obwizigorro,[GENERAL_NOUN_PLURAL] dizzinesses,,general,,
obujabago,[GENERAL_NOUN_PLURAL] muddy areas,,general,,
akanuriirizi,[GENERAL_NOUN] sweet taste,,general,,
obunuriirizi,[GENERAL_NOUN_PLURAL] sweet tastes,,general,,
akajabirro,[GENERAL_NOUN] over excitement,,general,,
obujabirro,[GENERAL_NOUN_PLURAL] over excitements,,general,,
akajagarro,[GENERAL_NOUN] commotion,,general,,
obujagarro,[GENERAL_NOUN_PLURAL] commotions,,general,,
kwija,[GENERAL_VERB] to come,,general,,
alimansr,[GENERAL_NOUN] diamond,,general,,
akanyamukara,[GENERAL_NOUN] nut grass,,general,,
obunyamukara,[GENERAL_NOUN_PLURAL] nut grasses,,general,,
akajanja,[GENERAL_NOUN] superficial behaviour,,general,,
orujanja,[GENERAL_NOUN_PLURAL] superficial behaviours,,general,,
akanyamukira,[GENERAL_NOUN] dung maggot,,general,,
ombunyamukira,[GENERAL_NOUN_PLURAL] dung maggots,,general,,
aktindinda,[GENERAL_NOUN] small snail,,general,,
obutindinda,[GENERAL_NOUN_PLURAL] small snails,,general,,
akanyamwenyi,[COMMON_ANIMALS_NOUN] squirrel,,general,,
obunyamwenyi,[COMMON_ANIMALS_NOUN_PLURAL] squirrels,,general,,
ebyabana bye'bitoke,[GENERAL_NOUN_PLURAL] undeveloped bananas,,general,,
akanywanisa,[GENERAL_NOUN]: hyphen,,general,,
obunywanisa,[GENERAL_NOUN_PLURAL]: hyphens,,general,,
akaradaari,[GENERAL_NOUN]:mustard seed,,agriculture,,
obukaradaari,[GENERAL_NOUN_PLURAL]:mustard seeds,,agriculture,,
akaragwa,[GENERAL_NOUN]:inherited trait,,general,,
oburagwa,[GENERAL_NOUN_PLURAL]:inherited traits,,general,,
akarebure,[GENERAL_NOUN]:a slunderous utterance,,general,,
