Runyoro,English
"wange mutabani akagwize,""ruhanga ali nkaha?"" nkamusongera hamutima gwange n'ogwe","My son has asked me,""Where is God?""I pointed to my heart and his."
okubaira nambere emiti ebaire etemerwe kigarwireho irindiro lyebisoro byomukisaka mukicweka nambere byali,The reforestation project has brought back wildlife that had disappeared from the area.
ekika kaitu kigira y'okutangira engeri omwaka omuhyaka eyembaganiza,Our clan has had its own special way of welcoming the new year.
nkasunga ekituru nikyoleka kyomutini ngu kikagamba oruganikyo rw'omukama owamani ijo,I watch a shadow puppet show that told the story of a great king yesterday.
omusaija ateka sente ze omumasamba,He invests in a real estate investment trust.
obujanjabi bubaire bwasente baitu nibukoraho,treatment has been expensive but effective.
omusaija akateka ze sente omumasamba,He invested in a real estate investment trust.
gw'obusubuzi omuhyaka gwimukize ebitundwa aheru,The new trade deal has boosted exports.
"Kakuba ndi wokukugambira ekintu kimu hali enaku, nikyo ngu otaligyehugura-ogirabemu.","If I could tell you one thing about grief, it's that you never get over it-you get through it."
bwali obujanjabi bwasente nyingi baitu nibukoraho,The treatment will be expensive but effective.
ekika kaitu nikija kugira engeri y'okutangira omwaka omuhyaka eyemabaganiza,Our clan will have its own special way of welcoming the new year.
nyinenkuru nyowe arukire ebigega eby'akatale kumara emyaka nyingi,My grandmother has woven baskets for the market for many years.
omukazi abaire nakorra mukeeto kumara emyaka atkabaire CFO,She works in the accounting department for years before she became CFO.
nguzire ebuntu omu supamaketi buli wiiki,I have bought groceries from the supermarket every week.
embina yomukisaka ekairukya empara habwa mairu nyingiho kuhirya obuyajwahire,The wild dog chased the impala for miles until it tired out.
cukamba y'omuyanja ekaturukya ehuzo z'amakamba okwerwanaho,The sea cucumber squirted sticky threads to defend itself.
Ekiro kyaijo omwigi w'enjura eyiturukwetaaga kuleeta acekecerege rnjura.,The rainmaker danced to bring the rain that we need for the crops yesterday.
"gunu omurundi wiiki erukwija, tubyame kubyama hamusa gwenyanja","This time next week, we lay on a beach."
"gunu omurundi erukwija, wiiki tubyamire hamusa gwenyanja","This time next week, we have lied on a beach."
"kakuba gavumenti erakehya omuhendo gwa sola pano, abantu baingi nibaija kutandika kukozesa amasanyarazi","If the government will subsidize solar panels, more people would use renewable energy now."
"Rora ebinyonyi omumwanya, tibisiga, tibigesa baitu Isinywe anyakuli omwiguru abiriisa.","Look at the birds of the air; they do not sow or reap, yet your heavenly father feeds them."
ekitebe kyabantu nikinja bandi kusagika okuterayo akazina kandi kamu,The crowd will cheer for the band to play one more song.
"hakumalira ye kyasa kinu, tukahindura ekoragana yaitu n'byobuhangwa","The the end of this century, we transformed our relationship with nature."
gw'obusubuzi omuhyaka gukaimukya ebitundwa aheru,The new trade deal boosted exports.
"kakuba gavumenti omuhendo gwa sola pano, abantu baingi nibaija kutandi kukozesa amasanyarazi","If the government subsidizes solar panels, more people would use renewable energy now."
Pamba ekafooka ekirimwa ekirukuleeta entahya omu Uganda omukutandika okwekyasa ekya 20.,Cotton became a major cash crop in the early 20th century Uganda.
ebiro bisaatu omurubuga orututekanizaga kubungira,Three days in a city we have never planned to visit.
omumwaka ibiri gw'enkumi asaatu tufunire okukeha kwingi muno hakusisika kwobuhanwa,"By 2030, we achieve a significant reduction in the loss of biodiversity."
omusomesa wange owunyenda agambira ngu nkaba nyina ekisembo kyokuhandika ebigambo ebi bikasigara nanye,My favorite tells me that i had a gift- for writing those words stayed with me.
"kakuba bus etandekere, tinanditangatangaine munyani wange muno","If i have not missed the bus that day, i never would have met my best friend."
tihabaireho ekintu ekibi nkoku rubata omukigana otaine sokisi,There has been nothing worse than stepping in a puddle with socks on.
"basi kakuba etalindekere ekiro eki, tinandibwoine munyani wange muno.","If i did not miss the bus that day, i never would have met my best friend."
"kakuba basi etandeka eki ekiro, kurora tindikwija munyani wange muno","If i will not miss the bus that day, i never would have met my best friend."
omukazi ataaha naworoza hamu nokulinda,She had been collecting indigenous seeds for preservation.
"dora ebinyonyi omumwanya; tibirikwija kusiga rundi okugesa, baitu iwe ise owomwiguru obirisa","Look at the birds of the air; they will not sow or reap, yet your heavenly father feeds them."
"kakuba isomero nirinja kukubuza obusinge, tekerezamu haba kakuba haliyo omulingo gundi gwona","If school will make you miserable, consider whether there's another way."
Nsabira amadiini goona omugisa-itwena tuli baana Ruhanga omu.,I pray for peace among all religions-we're all children of the same God.
tukhaire okusima emyoyo y'omurusozi habwe emyandara na amabale,We have given thanks to the spirits the mountains for the and stones.
nibaija kulima omusiri ni turakita bakozesa,They will plow the fields using a tractor.
nkasunga ekituru kyomutini nikyoleka ngu kikagamba oruganikyo rw'omukama owamani ijo,I watch a shadow puppet show that told the story of a great king yesterday.
okubaira emiti nambere ebaire etemerwe nikija kugaraho irindiro lyebesoro by'omukisaka mukicweka byali nambere,The reforestation project will bring back wildlife that had disappeared from the area.
abantu bombeka iramizo erihyaka nambere bona batina,The community builds a new shrine at the sacred spring.
"omukazi akangamba,""omusana nigwija kujwa omurundi gundi kandi nyenkya, naiwe oti.""","She tells me,""The sun will rise again tomorrow, and so will you""."
omulimi ayombire omusiri gwe wiiki gwamuhogo ehwaire,The farmer has weeded his cassava field last week.
abantu bakwesoroleza omuka y'omunyoro habw'orukurato,People gathered at the chief's house for the meeting.
"kakuba gavumenti eba ekendize omuhendo gwa sola pano, abantu nibaija baingi kutandika kukozesa amasanyarazi","If the government has subsidized solar panels, more people would use renewable energy now."
"hakumalira ye kyasa kinu, tuhindura ekoragana n'ebyobuhangwa yaitu","The the end of this century, we transform our relationship with nature."
cukamba y'omuyanja nejakuturukya ehuzo zamakamba okwerwanaho,The sea cucumber will squirt sticky threads to defend itself.
ekituru ndozirege kyomutini nikyoleka ngu kikagamba oruganikyo orw'omukama owamani ijo,I have watched a shadow puppet show that told the story of a great king yesterday.
embya yomukisaka impala ekahambya mayiro nyingi okuhikya ejwahire,The wild dog chased the impala for miles until it tired out.
ndozirege ekituru kyomutini nikyoleka ngu kikagamba oruganikyo orw'omukama owamani ijo,I have watched a shadow puppet show that told the story of a great king yesterday.
ekitebe ky'abantu kisagikire bandi okuterayo akazina kandi kamu,The crowd has cheered for the band to play one more song.
okubaira emiti nambere ebaire etemerwe kigarwireho irindiro lyebisoro byomukisaka mukicweka nambere byali,The reforestation project has brought back wildlife that had disappeared from the
okubaira emiti nambere ebaire etemerwe kigarwireho irindiro lyebisoro byomukisaka mukicweka nambere byali,The reforestation project has brought back wildlife that had disappeared from the area.
"Nkaba ntukaterezaaga ngu kusura ndisobora enju eka , baitu dera ndihamu , ninyija kutekaho omukono hampapura sabbiti erukwija.","I never thought l'd be able to buy mu own home , but here l am , signing the papers next week."
ekyaro kaitu kiguma nikiyamba boona abo abatakwesobora,Our village always helped those who are in need.
kakuba ntararabirweho baasi ekiro eki tinakutangaine yange. engajani,"if i hadn't missed the bus that day, i never would have met my best friend."
omunya gukacicya omukira gwako kandi hali katoroka ekinyonyi,The skink wiggled its tail and escaped from the bird's grasp.
abantu bakehumuzamu habizina ebyamporampora,The crowd back swayed and forth to the slow music.
irwaro nirija kugira eryahuro ry'ebitabu byabarwaire ebirukukwataho obwomezi bwabo,The hospital will have a patient library with health information.
Ebiro bisatu omu rubuga orututatekanizaaga kobunga.,Three days in a city we'd never planned to visit.
nyinenkuru nyowe arukire ebigega kumara eby'akatale emyaka nyingi,My grandmother has woven baskets for the market for many years.
irwaro erahuro ry'ebitabu byabarwaire ebikukwataho obwomezi bwabo,hospital had a patient library with health information.
ekyoma kikabaija kyomubaizi ekisisani kuruga omukihinju kyekiti,The sculptor chiseled a figure out of a single block of wood.
ebihuka bikarubatira hamu murukara bihimbire ebisosonkole nibibigara omukiju,The ants marched in a long line carrying crumbs back to their nest.
enkoragana empyaka eyobusubuzi imukize entundwa ye bw'obulimi aheru yihanga,The new trade deal has boosted agricultural exports.
tukaha okusima hali emyoyo y'omurusozi emyandara habwa na amabale,We gave thanks to the spirits of the mountains for the rocks and stones.
ebizina byenzarwa hamu n'okucekeca n'orunyegebirabaga mubuli mukoro,Traditional music and will dance accompained ceremonies.
"Kakuba ndi wokukugambira ekintu kimu hali enaku, nikyo otaligyehugura-ogirabemu. ngu","If I could tell you one thing about grief, it's that you never get over it-you get through it."
embya y'omukisaka ehambizege impala mayiro nyingi okuhikya ejwahire,The wild dog has chased the impala for miles until it tired out.
omukazi naija kwega hakulima n'okulisa okwokwebaisaho,She will learn about sustainable agriculture.
"dora ebinyonyi omumwanya; rundi bitasige okugesa, baitu iwe ise owomwiguru obirisa","Look at the birds of the air; they did not sow or reap, yet your heavenly father feeds them."
