Runyoro,English
"hakumalira ye kyasa kinu, tuhindura ekoragana yaitu n'ebyobuhangwa","The the end of this century, we transform our relationship with nature."
omukazi abaire nakorra mukeeto kumara emyaka atkabaire CFO,She works the accounting department for years before she became CFO.
ndozirege ekituru kyomutini nikyoleka ngu kikagamba oruganikyo orw'omukama owamani ijo,I have watched a shadow puppet show that told the story of a great king yesterday.
omutezi wenanga naijakuteranizaho omulere ha bandi,The harmonica player will add a bluesy feel to the band's sound.
nijnja kwenga kwenyumirizamu nobukuba ndi omuburumi-nikimanyisa nkyali mwomezi,I will learn to be grateful even in pain-it means I'm still alive to feel.
naija kutunga okwimukizibwa ha mulimo,He will receive a raise at work.
"dora ebinyonyi omumwanya; bitasige rundi okugesa, baitu iwe ise owomwiguru obirisa","Look at the birds of the air; they did not sow or reap, yet your heavenly father feeds them."
nkasiga ekihemeheme kandi kandi nakisindika hamutimbagano ijo,I draw a funny cartoon and posted it on social media yesterday.
ntangainege munywani wange owaira ijo,I ran into an old friend yesterday.
"hakumalira ye kyasa kinu, tuhindwire enkoragana yaitu n'ebyobuhangwa","The the end of this century, we have transformed our relationship with nature."
omulimi ayombire omusiri gwe gwamuhogo wiiki ehwaire,The farmer has weeded his cassava field last week.
Hakumaliira kwe kyaasa kiru nitwiija kuba tumazire kwatundwira enkoragana yaitu n'ebyobuhangwa.,"The the end of this century ,we will have transformed our relationship with nature."
"kakuba orayenda okwetegereza ebyobuhangwa baitu, tandika n'ebyokulya baitu","If you will want to understand our culture, start with our food."
"Nkaba ntukaterezaaga ngu ndisobora kusura enju eka , baitu dera ndihamu , ninyija kutekaho omukono hampapura sabbiti erukwija.","I never thought l'd be able to buy mu own home , but here l am , signing the papers next week."
nkatera ekihemeheme kandi nakisindika hamutimbagano ijo,I have drawn a funny cartoon and posted it on social media yesterday.
ebizina byenzarwa hamu n'okucekeca n'orunyegebirabaga mubuli mukoro,Traditional music and will dance accompained ceremonies.
omukazi akozire mukeeto kumara emyaka nyingi atakafokere CFO,She has worked in the accounting department for years before she became CFO.
omulimi agesa amacande ge kandi yagatwara hakyoma ijo,The farmer harvests his sunflower and took it for pressing yesterday.
omulimi agesire amacande ge kandi yagatwara hakyoma,The farmer has harvested his sunflower and took it for pressing yesterday.
igana lyabantu nirija kusemererwa omukoro gutakatandikire,crowd will buzz with excitement before the show starts.
taxi empyaka bakagitandikaho omwaka oguhwaire,The new tax was implemented next year.
"kakuba gavumenti erakehya omuhendo gwa sola pano, abantu baingi nibaija kutandika kukozesa amasanyarazi","If the government will subsidize solar panels, more people would use renewable energy now."
omusomesa wange owunyenda naija kungamba nkaba nyina ekisembo kyokuhandika ebigambo ebi bikasigara nanye,My favorite teacher will tell me that i had a gift- for writing those words stayed with me.
ebiro bisaatu murubuga orutubaire tuturukwija kwetekaniza kubungira,Three days in a city we will never plan to visit.
abekento nibaija kumaliriza alipota y'omwaka,The finance team will finalize the annual report.
irwaro ritaireho obujanjabi bw'abzaire abaine enda,The clinic has provided prenatal care for expectant mothers.
nkasunga ekituru kyomutini nikyoleka ngu kikagamba oruganikyo rw'omukama owamani ijo,I watch a shadow puppet show that told the story of a great king yesterday.
omwaka gw'enkumi ibiri asaatu tukatunga okukeha kwingi muno habwokusisikara kwobuhangwa,"By 2030, we achieved a significant reduction in the loss of biodiversity."
NRA ekatandikaho ekora endi,The NRA developed a parallel administration.
"Rora ebinyonyi omumwanya, tibisiga, tibigesa baitu Isinywe anyakuli omwiguru abiriisa.","Look at the of the air; they do not sow or reap, yet your heavenly father feeds them."
omulimi naija kwombera omusirigwe gwamuhogo wiiki ekwija,The farmer will weed his cassava field next
omunya nigwija okucicya omukira gwako kandi katoroke hali ekinyonyi,The skink will wiggle its tail and escaped from the bird's grasp.
eka yaitu ekajaguza amagesa namazina agokusima itaka,Our family always celebrated the harvest with a dance that thanks the earth.
tukazika abafu baitu omwitaka nambere baisenkuru itwe bahumura,We buried our dead in the ground where our ancestors rest.
cukamba y'omuyanja eturukize ehuzo zamakamba okwerwanaho,The sea cucumber has squirted sticky threads to defend itself.
gavumenti etairo enkora empyaka hali abalimi abakulima ebyokulya,The government has provided subsidies for farmers who practice sustainable agriculture.
ebizina byenzarwa hamu n'okucekeca n'orunyege biba mubulimukoro,Traditional music and danced accompained ceremonies.
