Runyoro,English
gw'obusubuzi omuhyaka gukaimukya ebitundwa aheru,The new trade deal boosted exports.
y'omusomo twegeseze abalimi orukumi rumu omukukozesa orwezo kuruga omubijuzire,"By the end of this project, we have trained one thousand farmers in organic methods."
omukazi akasoroza embibo entoro z'okwahura,She collects indigenous seeds for preservation.
atafike omugabo gwa bakama babizinesi,He never missed a dividend payment.
Akatebe akeby'ensimbi nikamaliiriza ensoborra ( ripoota ) eyabuli mwaka.,The finance team is finalizing the annual report.
abaserurizi nibaija kusoma endubata y'ebinyonyi obu ekika ekihyaka ekyebinyonyi,The researchers will study bird migration patterns when they discovered a new species.
taxi empyaka nejakutandika omwaka ogurukwija,The new tax is implemented next year.
omukazi asoraize embibo entoro z'okwahura,She has collected indigenous seeds for preservation.
omumwaka gw'enkumi ibiri asaatu tufunire okukeha kwingi muno kwobuhanwa,"By 2030, we achieve a significant reduction in the loss of biodiversity."
Ekka yaitu ejaguza amagesa na mazina ag'okusiima ensi.,Our family has always celebrated the harvest with a dance that thanks the earth.
"omuro tigurukwija kugwa mpaka nyekya, ogaruke hairwaro","If the fever will not go down by tomorrow, come back the clinic."
"omurundi gw'okubanza okugenda mwoyomubudabuda, nkatina ekinazonzora hali nyowe","The first time I go to therapy, I was terrified of what I might discover about myself."
"omuro gutagwe mpaka nyenkya,ogaruke hairwaro","If the fever not go down by tomorrow, come back to the clinic."
ndozirege ekituru kyomutini nikyoleka ngu kikagamba oruganikyo orw'omukama owamani ijo,I have watched a shadow puppet show that told the story of a great king yesterday.
enyunyuzi zakire muno ekiro omumwanya kukira ebitara by'omurubuga,The stars have brightly shone in the night sky away from city lights.
omukazi naija kusoroza embibo entoro z'okwahura,She will collect indigenous seeds for preservation.
okuhandika kwabaramagi kukatandikwaho omukyasa kya 19th om'uganda,Missionary writings have documented 19th century Uganda.
"kakuba omuntu afwa, ekyaro kyona kija okunahukara, oba babamanyire muno rundi tibabamanyire","When someone has died, the whole village comes to pay respects, whether they knew them well or not."
balima omusiri ni bakozesa turakita,They fields using a tractor.
"akasumi kona ninyija kutekereza ntungire okugarukwamu, nyega ekintu kihyaka",Everytime I will think I've figured it I learn something new.
"nyikaire ntakukinihira ngu ninyija kugura eka yange, baitu ndi hanu, ninyija kutekaho hakipapura omukono wiiki ekwija","I never will think l'd be able to buy mu own home, but here l am, signing the papers next week."
nijnja kwenga kwenyumirizamu nobukuba ndi nkyali omuburumi-nikimanyisa mwomezi,I will learn to be grateful even in pain-it means I'm still alive to feel.
taxi empyaka bagitandikireho omwaka ogurukwija,The new tax has been implemented next year.
busayo ekibi nkokurubata mukigana otajaire sokisi,There was nothing worse than stepping in a puddle socks on.
Omurundi gwokubanza nkagenda kutunga obujanjabi ekintu ekibangambiire ekinkaba nsemerire kuzonzora nyowe nyenka. nyowe,"The first time I went to therapy, I was terrified of what I might discover about myself."
"kakuba nakugambira ekintu kimu hali ekiniga, kiri ngu tokwija kukirugaho-nokirabamu","If I will tell you one thing about grief, it's that you never get over it-you get through it."
"Obusasi bwija nkebigonzi ebiro ebimu ninyikya ,ebiro ebindi tindukusobora.","The grief comes in waves some days l can breath , some days l can't."
ekika ky'ababiito kiremere bunyoro kurugira kimu omkyasi kya 16th,The Babiito dynasty ruled Bunyoro since the 16th century.
omukago gw'obusubuzi omuhyaka gukaimukya ebitundwa aheru,The new trade deal boosted exports.
kotoni naija kuba kirimwa kyasente mukyasi kya amkumi abiri m'uganda,Cotton will become a major cash crop in the early 20th century Uganda.
abantu omuka baisoroize y'omunyoro habworukurato,People have gathered at the chief's house for the meeting.
"mutabani wange naija kukaguza,""ruhanga ali nkaha?"" ninjakusomnga hamutima n'ogwe gwange","My son will ask me,""Where is God?""I pointed to my heart and his."
